datum,region,stellen_gesamt,stellen_geladen,berufe_unique,arbeitgeber_unique,top_beruf,top_arbeitgeber
2026-07-06,waiblingen_15km,10372,6000,1028,1765,Verkäufer/in,SOCCO Leonberg GmbH
2026-07-06,rems-murr-kreis,8708,6000,949,1735,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-06,ostalbkreis,5521,5521,818,1430,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-06,waiblingen_15km,10373,6000,1026,1770,Verkäufer/in,SOCCO Leonberg GmbH
2026-07-06,rems-murr-kreis,8720,6000,949,1730,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-06,ostalbkreis,5523,5523,816,1434,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-06,waiblingen_30km,20121,6000,995,1824,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-06,rems-murr-kreis,8715,6000,950,1729,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-06,ostalbkreis,5522,5522,816,1434,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-06,waiblingen_30km,20123,6000,998,1830,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-06,rems-murr-kreis,8717,6000,951,1730,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-06,ostalbkreis,5522,5522,816,1434,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-07,waiblingen_30km,20096,6000,987,1832,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-07,rems-murr-kreis,8719,6000,947,1740,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-07,ostalbkreis,5546,5546,818,1437,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-08,waiblingen_30km,20148,6000,987,1832,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-08,rems-murr-kreis,8755,6000,952,1728,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-08,ostalbkreis,5538,5538,819,1441,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-08,waiblingen_30km,20220,6000,988,1843,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-08,rems-murr-kreis,8788,6000,957,1739,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-08,ostalbkreis,5543,5543,818,1441,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-09,waiblingen_30km,20214,6000,986,1813,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-09,rems-murr-kreis,8789,6000,951,1738,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-09,ostalbkreis,5567,5567,821,1446,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-09,waiblingen_30km,20311,6000,980,1808,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-09,rems-murr-kreis,8810,6000,938,1737,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-09,ostalbkreis,5571,5571,823,1453,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-10,waiblingen_30km,20072,6000,978,1795,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-10,rems-murr-kreis,8736,6000,933,1732,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-10,ostalbkreis,5553,5553,825,1437,Verkäufer/in,TimePartner Personalmanagement GmbH
2026-07-10,waiblingen_30km,20115,6000,987,1781,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-10,rems-murr-kreis,8774,6000,933,1725,Verkäufer/in,SOCCO GROUP GmbH NL Schorndorf
2026-07-10,ostalbkreis,5571,5571,827,1439,Verkäufer/in,TimePartner Personalmanagement GmbH
